COUNTY,STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021
99,IL,La Salle County,109359,108965
101,IL,Lawrence County,15234,15152
103,IL,Lee County,34021,34049
105,IL,Livingston County,35752,35664
107,IL,Logan County,27879,27992
109,IL,McDonough County,27079,26828
111,IL,McHenry County,309770,311122
113,IL,McLean County,170870,170889
115,IL,Macon County,103647,102432
117,IL,Macoupin County,44810,44406
119,IL,Madison County,265498,264490
121,IL,Marion County,37613,37390
123,IL,Marshall County,11691,11663
125,IL,Mason County,13026,12881
127,IL,Massac County,14125,13960
129,IL,Menard County,12265,12164
131,IL,Mercer County,15633,15582
133,IL,Monroe County,34898,34932
135,IL,Montgomery County,28157,28084
137,IL,Morgan County,32798,32606
139,IL,Moultrie County,14486,14510
141,IL,Ogle County,51678,51449
143,IL,Peoria County,181225,179432
145,IL,Perry County,20880,20985
147,IL,Piatt County,16654,16753
149,IL,Pike County,14633,14618
151,IL,Pope County,3744,3779
153,IL,Pulaski County,5161,5065
155,IL,Putnam County,5635,5566
157,IL,Randolph County,30055,30142
159,IL,Richland County,15803,15796
161,IL,Rock Island County,144267,142909
163,IL,Saint Clair County,256789,254796
165,IL,Saline County,23634,23320
167,IL,Sangamon County,196012,194734
169,IL,Schuyler County,6875,6843
171,IL,Scott County,4927,4836
173,IL,Shelby County,20900,20789
175,IL,Stark County,5391,5294
177,IL,Stephenson County,44457,44021
179,IL,Tazewell County,131018,130413
181,IL,Union County,17179,16923
183,IL,Vermilion County,73883,73095
185,IL,Wabash County,11316,11202
187,IL,Warren County,16777,16531
189,IL,Washington County,13711,13655
191,IL,Wayne County,16121,15963
193,IL,White County,13808,13784
195,IL,Whiteside County,55509,55305
197,IL,Will County,695903,697252
199,IL,Williamson County,67094,66879
201,IL,Winnebago County,284858,283119
203,IL,Woodford County,38395,38225
0,IN,Indiana,6785644,6805985
1,IN,Adams County,35826,35961
3,IN,Allen County,385892,388608
5,IN,Bartholomew County,82157,82475
7,IN,Benton County,8712,8714
9,IN,Blackford County,12098,12091
11,IN,Boone County,71169,73052
13,IN,Brown County,15470,15552
15,IN,Carroll County,20307,20444
17,IN,Cass County,37771,37563
19,IN,Clark County,121282,122738
21,IN,Clay County,26432,26410
23,IN,Clinton County,33151,33065
25,IN,Crawford County,10540,10514
27,IN,Daviess County,33391,33397
29,IN,Dearborn County,50726,50816
31,IN,Decatur County,26477,26320
33,IN,De Kalb County,43274,43333
35,IN,Delaware County,111669,111871
37,IN,Dubois County,43604,43549
39,IN,Elkhart County,206842,206921
41,IN,Fayette County,23333,23360
43,IN,Floyd County,80437,80454
45,IN,Fountain County,16470,16427
47,IN,Franklin County,22767,22842
49,IN,Fulton County,20434,20386
51,IN,Gibson County,33021,32924
53,IN,Grant County,66446,66263
55,IN,Greene County,30790,30786
57,IN,Hamilton County,348868,356650
59,IN,Hancock County,80156,81789
61,IN,Harrison County,39652,39761
63,IN,Hendricks County,175528,179355
65,IN,Henry County,48885,48935
67,IN,Howard County,83619,83687
69,IN,Huntington County,36599,36717
71,IN,Jackson County,46373,46067
73,IN,Jasper County,32906,33091
75,IN,Jay County,20456,20248
77,IN,Jefferson County,33075,33141
79,IN,Jennings County,27564,27409
81,IN,Johnson County,162180,164298
83,IN,Knox County,36244,35956
85,IN,Kosciusko County,80050,80106
87,IN,LaGrange County,40515,40524
89,IN,Lake County,498597,498558
91,IN,La Porte County,112222,112390
93,IN,Lawrence County,45022,45070
95,IN,Madison County,130065,130782
97,IN,Marion County,976770,971102
99,IN,Marshall County,46018,46121
101,IN,Martin County,9786,9780
103,IN,Miami County,35924,36081
105,IN,Monroe County,139517,139875
107,IN,Montgomery County,37932,38063
109,IN,Morgan County,71802,72206
111,IN,Newton County,13796,13808
113,IN,Noble County,47379,47227
115,IN,Ohio County,5930,5978
117,IN,Orange County,19839,19830
119,IN,Owen County,21298,21446
121,IN,Parke County,16154,16407
123,IN,Perry County,19150,19316
125,IN,Pike County,12233,12144
127,IN,Porter County,173256,174243
129,IN,Posey County,25161,25116
131,IN,Pulaski County,12488,12339
133,IN,Putnam County,36666,36979
135,IN,Randolph County,24375,24387
137,IN,Ripley County,28980,29081
139,IN,Rush County,16744,16672
141,IN,Saint Joseph County,272549,272212
143,IN,Scott County,24336,24355
145,IN,Shelby County,45026,45039
147,IN,Spencer County,19820,19798
149,IN,Starke County,23356,23372
151,IN,Steuben County,34440,34632
153,IN,Sullivan County,20803,20758
155,IN,Switzerland County,9724,9790
157,IN,Tippecanoe County,186247,187076
159,IN,Tipton County,15365,15372
161,IN,Union County,7090,7047
163,IN,Vanderburgh County,180158,179987
165,IN,Vermillion County,15388,15341
167,IN,Vigo County,106007,105994
169,IN,Wabash County,30888,30816
